Date,Month,Year,Quarter,Service,Sanctuary Attendance,Volunteer Classroom Attendance,Nursery Attendance,K-3 Attendance,4-6 Attendance,Youth Attendance,In-Person Total,"Adjusted Total Attendence 
(to remove duplicates)",Online Attendance,Total K-6th Grade Attendence,Total Adults,Notes
10/20/24,October,2024,Q4,9:15 AM,0,0,0,0,0,0,0,0,0,0,0,1st service CANCELED due to Hurricane Helene Recovery
10/20/24,October,2024,Q4,11:00 AM,105,0,0,0,0,0,105,105,7,0,105,
10/27/24,October,2024,Q4,9:15 AM,59,0,0,0,0,0,59,59,29,0,59,
10/27/24,October,2024,Q4,11:00 AM,37,7,3,9,7,4,67,58,0,16,44,
11/3/24,November,2024,Q4,9:15 AM,53,0,0,0,0,0,53,53,6,0,53,
11/3/24,November,2024,Q4,11:00 AM,33,7,5,12,10,6,73,63,0,22,40,
11/10/24,November,2024,Q4,9:15 AM,37,0,0,0,0,0,37,37,16,0,37,
,November,2024,Q4,11:00 AM,40,5,2,8,7,3,65,59,0,15,45,
11/17/24,November,2024,Q4,9:15 AM,54,0,0,0,0,0,54,54,16,0,54,
11/17/24,November,1900,Q4,11:00 AM,31,5,3,11,9,4,63,56,0,20,36,
11/24/24,November,2024,Q4,9:15 AM,34,0,0,0,0,0,34,34,11,0,34,
11/24/24,November,2024,Q4,11:00 AM,43,3,0,3,4,2,55,51,0,7,46,
12/1/24,December,2024,Q4,9:15 AM,34,0,0,0,0,0,34,34,18,0,34,Thanksgiving Weekend
12/1/24,December,2024,Q4,11:00 AM,35,3,2,10,8,3,61,56,0,18,38,Thanksgiving Weekend
12/8/24,December,2024,Q4,9:15 AM,37,0,0,0,0,0,37,37,5,0,37,1st service is an estimate
12/8/24,December,2024,Q4,11:00 AM,36,6,2,11,8,6,69,59,0,19,42,
12/15/24,December,2024,Q4,9:15 AM,0,0,0,0,0,0,0,0,0,0,0,1st service cancelled due to icy road conditions
12/15/24,December,2024,Q4,11:00 AM,52,5,5,9,9,3,83,77,11,18,57,Estimated sanctuary attendance
12/22/24,December,2024,Q4,9:15 AM,30,0,0,0,0,0,30,30,14,0,30,Estimated sanctuary attendance
12/22/24,December,2024,Q4,11:00 AM,38,4,1,7,7,3,60,54,,14,42,
12/29/24,December,2024,Q4,9:15 AM,36,0,0,0,0,0,36,36,11,0,36,
12/29/24,December,2024,Q4,11:00 AM,33,4,1,9,7,3,57,51,,16,37,
1/5/25,January,2025,Q1,9:15 AM,35,0,0,0,0,0,35,35,7,0,35,First service is an estimate
1/5/25,January,2025,Q1,11:00 AM,24,7,5,11,10,6,63,53,,21,31,
1/12/25,January,2025,Q1,9:15 AM,0,0,0,0,0,0,0,0,0,0,0,First service cancelled due to inclement weather
1/12/25,January,2025,Q1,11:00 AM,41,0,0,0,0,0,41,41,18,0,41,no children's ministry due to incliment weather
1/19/25,January,2025,Q1,9:15 AM,40,0,0,0,0,0,40,40,6,0,40,Guest Speaker John LaShell
1/19/25,January,2025,Q1,11:00 AM,34,4,4,6,5,6,59,51,0,11,38,Guest Speaker John LaShell
1/26/25,January,2025,Q1,9:15 AM,47,0,0,0,0,0,47,47,17,0,47,
1/26/25,January,2025,Q1,11:00 AM,33,4,5,5,7,6,60,52,0,12,37,
2/2/25,February,2025,Q1,9:15 AM,54,0,0,0,0,0,54,54,12,0,54,
2/2/25,February,2025,Q1,11:00 AM,27,4,4,5,6,6,52,44,0,11,31,
2/9/25,February,2025,Q1,9:15 AM,32,5,3,9,7,4,60,53,29,16,37,
2/9/25,February,2025,Q1,11:00 AM,19,,,,,,19,19,,0,19,
2/16/25,February,2025,Q1,9:15 AM,0,0,0,0,0,0,0,0,0,0,0,Family Worship Day only 1 service
2/16/25,February,2025,Q1,11:00 AM,79,0,0,0,0,0,79,79,12,0,79,Family Worship Day only 1 service
2/23/25,February,2025,Q1,9:15 AM,45,0,0,0,0,0,45,45,6,0,45,
2/23/25,February,2025,Q1,11:00 AM,30,4,0,5,3,2,44,39,0,8,34,
3/2/25,March,2025,Q1,9:15 AM,44,0,0,0,0,0,44,44,9,0,44,
3/2/25,March,2025,Q1,11:00 AM,34,3,3,6,4,4,54,48,0,10,37,2nd service is an estimate
3/9/25,March,2025,Q1,:,45,0,0,0,0,0,45,45,10,0,45,sanctuary & online attendance is an estimate
3/9/25,March,2025,Q1,11:00 AM,32,,,,,,32,32,0,10,32,sanctuary and k-6th  attendance is an estimate
3/16/25,March,2025,Q1,9:15 AM,44,0,0,0,0,0,44,44,0,0,44,Live stream did not work
3/16/25,March,2025,Q1,11:00 AM,31,4,4,5,5,7,56,47,0,10,35,
3/23/25,March,2025,Q1,9:15 AM,55,0,0,0,0,0,55,55,8,0,55,
3/23/25,March,2025,Q1,11:00 AM,29,3,1,9,9,4,55,49,0,18,32,
3/30/25,March,2025,Q1,9:15 AM,35,0,0,0,0,0,35,35,8,0,35,Guest Speaker Mark Valentine attendance is an estimate
